ProductType,SKU,BarCode,Brand,Category,SubCategory,Name,Description,HSNSACCode,ChargeTaxOnProduct,MRP,SupplyPrice,RetailPrice,Markup,DiscountPercentage,DiscountAmount,TaxInclusive,TaxInclusivePurchase,TaxGroup,PriceBasedTax,PriceRangeFrom1,PriceRangeTo1,TaxGroup1,PriceRangeFrom2,PriceRangeTo2,TaxGroup2,InventoryType,RepackProduce,MinQty,MaxQty,ReorderQty,UniqueNoLabel,NoOfUniqueNoPerItem,AllowDiscount,AllowPriceEdit,AllowTaxChange,WalletTopUpAmount,WalletTopUpSameAsRetailPrice,AllowUserToSpecifyRechargeAmountAtTimeOfBilling,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,UOM,SecondaryUOM,UOMToSecondaryUOMConversion,SalesUOM,PurchaseUOM,PromptForQty,Favourite,ShowOnline,BOM,BOMManual,CanBeUsedAsConsumable,AssociateMembership,Membership,BatchTrackingBatchNoRequired,BatchTrackingMRPRequired,BatchTrackingMfgDateRequired,BatchTrackingExpDateRequired,BatchTrackingDateFormat,ParentSKU,VariantOptionOneName,VariantOptionOneValue,VariantOptionTwoName,VariantOptionTwoValue,VariantOptionThreeName,VariantOptionThreeValue,ProductID
Goods for sale,DV,,,SHOES,,DERBY VELCRO SHOES,,,Yes,0,107,210,0,7,14.7,Yes,No,GST 5%,No,,,,,,,Variants,No,,,,,0,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,YKu1px9GcYhswTTmatic
Goods for sale,DVB1,,,SHOES,,DERBY VELCRO SHOES / B1,,,Yes,259,129,250,0,7,17.5,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,n5AYNytx4MMo3lF3OGiB
Goods for sale,DVB2,,,SHOES,,DERBY VELCRO SHOES / B2,,,Yes,259,129,250,0,7,17.5,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,RYQE6I7ekHDtwlN6gIWX
Goods for sale,DVB3,,,SHOES,,DERBY VELCRO SHOES / B3,,,Yes,259,129,250,0,7,17.5,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,9XgZw479h185bVecgk3h
Goods for sale,DVB.4,,,SHOES,,DERBY VELCRO SHOES / B.4,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,lZVPq1nMQ3a6I7kfmRKF
Goods for sale,DVB4,,,SHOES,,DERBY VELCRO SHOES / B4,,,Yes,283,141,280,0,7,19.6,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,mWWbcFHVv9ZBG4CXDLt4
Goods for sale,DVB.5,,,SHOES,,DERBY VELCRO SHOES / B.5,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,jefzfzWn6rh6ZUn2aYGV
Goods for sale,DVB5,,,SHOES,,DERBY VELCRO SHOES / B5,,,Yes,283,141,280,0,7,19.6,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,Mmj7VIwUjkoRDLYzbRiY
Goods for sale,DVS5,,,SHOES,,DERBY VELCRO SHOES / S5,,,Yes,215,107,210,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,dp5azZfLZWwBzH2fybKB
Goods for sale,DVB.6,,,SHOES,,DERBY VELCRO SHOES / B.6,,,Yes,324,201,324,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,Jpklv7APmGy56K1RdvMD
Goods for sale,DVB6,,,SHOES,,DERBY VELCRO SHOES / B6,,,Yes,283,141,280,0,7,19.6,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,yp6sDsWmJU44EpEDuH5X
Goods for sale,DVS6,,,SHOES,,DERBY VELCRO SHOES / S6,,,Yes,215,107,210,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,jNGwZgqRMvFSUetCJZnz
Goods for sale,DVB7,,,SHOES,,DERBY VELCRO SHOES / B7,,,Yes,330,165,330,0,7,23.1,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,PkJ17EmDleCTYWmqNBBR
Goods for sale,DVS7,,,SHOES,,DERBY VELCRO SHOES / S7,,,Yes,215,107,210,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,g1amAfGQ0GnSGBVpoTbI
Goods for sale,DVB8,,,SHOES,,DERBY VELCRO SHOES / B8,,,Yes,331,165,331,0,7,23.17,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,PM8GhTQNFQp5ijcHLjJh
Goods for sale,DVS8,,,SHOES,,DERBY VELCRO SHOES / S8,,,Yes,229,114,220,0,7,15.4,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,1VDOFn7zbNGIlE6cHTT9
Goods for sale,DVB9,,,SHOES,,DERBY VELCRO SHOES / B9,,,Yes,331,165,331,0,7,23.17,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,76Mnj9AxT41EgG0ydZNC
Goods for sale,DVS9,,,SHOES,,DERBY VELCRO SHOES / S9,,,Yes,229,114,220,0,7,15.4,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,L8jNPAPgoCxzUEimsBPs
